[2025-07-26 12:12:49] Src: 172.64.155.209 -> Dst:192.168.206.128 | Protocol:6
[2025-07-26 12:12:49] Src: 192.168.206.128 -> Dst:172.64.155.209 | Protocol:6
[2025-07-26 12:12:49] Src: 172.64.155.209 -> Dst:192.168.206.128 | Protocol:6
[2025-07-26 12:12:49] Src: 192.168.206.128 -> Dst:172.64.155.209 | Protocol:6
[2025-07-26 12:12:49] Src: 172.64.155.209 -> Dst:192.168.206.128 | Protocol:6
[2025-07-26 12:12:49] Src: 192.168.206.128 -> Dst:172.64.155.209 | Protocol:6
[2025-07-26 12:12:49] Src: 172.64.155.209 -> Dst:192.168.206.128 | Protocol:6
[2025-07-26 12:12:49] Src: 192.168.206.128 -> Dst:172.64.155.209 | Protocol:6
[2025-07-26 12:12:50] Src: 172.64.155.209 -> Dst:192.168.206.128 | Protocol:6
[2025-07-26 12:12:50] Src: 192.168.206.128 -> Dst:172.64.155.209 | Protocol:6
[2025-07-26 12:12:50] Src: 172.64.155.209 -> Dst:192.168.206.128 | Protocol:6
[2025-07-26 12:12:50] Src: 192.168.206.128 -> Dst:172.64.155.209 | Protocol:6
[2025-07-26 12:12:50] Src: 172.64.155.209 -> Dst:192.168.206.128 | Protocol:6
[2025-07-26 12:12:50] Src: 192.168.206.128 -> Dst:172.64.155.209 | Protocol:6
[2025-07-26 12:12:50] Src: 172.64.155.209 -> Dst:192.168.206.128 | Protocol:6
